image,gt,yolo_det,ensemble_masks,vetoed,yolo_tp,yolo_fp,yolo_fn,ensemble_tp,ensemble_fp,ensemble_fn
060485.jpg,1,1,1,0,1,0,0,1,0,0
060492.jpg,3,1,1,0,1,0,2,1,0,2
060502.jpg,6,5,5,0,5,0,1,5,0,1
060503.jpg,2,0,0,0,0,0,2,0,0,2
060507.jpg,5,4,4,0,3,1,2,3,1,2
060509.jpg,3,2,2,0,1,1,2,1,1,2
070021.jpg,1,1,1,0,1,0,0,1,0,0
070035.jpg,3,4,4,0,3,1,0,3,1,0
070048.jpg,1,1,1,0,1,0,0,1,0,0
070059.jpg,3,2,2,0,2,0,1,2,0,1
070088.jpg,1,1,1,0,1,0,0,1,0,0
070099.jpg,1,1,1,0,1,0,0,1,0,0
070105.jpg,1,1,1,0,1,0,0,1,0,0
070124.jpg,4,3,2,1,3,0,1,2,0,2
070126.jpg,2,2,2,0,2,0,0,2,0,0
070129.jpg,1,1,1,0,1,0,0,1,0,0
070130.jpg,2,2,2,0,2,0,0,2,0,0
070131.jpg,3,3,3,0,2,1,1,2,1,1
070134.jpg,3,2,2,0,1,1,2,1,1,2
070137.jpg,4,4,4,0,4,0,0,4,0,0
070145.jpg,5,5,4,1,5,0,0,4,0,1
070153.jpg,3,2,2,0,0,2,3,0,2,3
070154.jpg,2,2,2,0,2,0,0,2,0,0
070158.jpg,4,3,3,0,3,0,1,3,0,1
070160.jpg,4,4,4,0,4,0,0,4,0,0
070165.jpg,3,3,2,1,3,0,0,2,0,1
070170.jpg,1,1,1,0,1,0,0,1,0,0
070179.jpg,1,1,1,0,1,0,0,1,0,0
070191.jpg,2,1,1,0,1,0,1,1,0,1
070195.jpg,6,3,3,0,3,0,3,3,0,3
070200.jpg,9,6,6,0,6,0,3,6,0,3
070244.jpg,2,2,2,0,2,0,0,2,0,0
070248.jpg,3,2,2,0,2,0,1,2,0,1
070257.jpg,4,3,3,0,3,0,1,3,0,1
070265.jpg,2,2,2,0,2,0,0,2,0,0
070273.jpg,3,3,3,0,3,0,0,3,0,0
070274.jpg,8,6,6,0,6,0,2,6,0,2
070278.jpg,6,6,6,0,6,0,0,6,0,0
070279.jpg,3,2,2,0,1,1,2,1,1,2
070282.jpg,1,1,1,0,1,0,0,1,0,0
070285.jpg,2,2,2,0,2,0,0,2,0,0
070305.jpg,2,2,2,0,2,0,0,2,0,0
070312.jpg,2,2,2,0,2,0,0,2,0,0
070352.jpg,2,2,2,0,2,0,0,2,0,0
070363.jpg,7,6,5,1,6,0,1,5,0,2
070366.jpg,6,7,7,0,6,1,0,6,1,0
070379.jpg,1,1,1,0,1,0,0,1,0,0
070405.jpg,3,3,3,0,3,0,0,3,0,0
070411.jpg,4,3,3,0,3,0,1,3,0,1
070421.jpg,2,1,1,0,1,0,1,1,0,1
070449.jpg,1,1,0,1,1,0,0,0,0,1
080004.jpg,2,1,1,0,0,1,2,0,1,2
080006.jpg,6,5,5,0,3,2,3,3,2,3
080013.jpg,2,2,2,0,2,0,0,2,0,0
080019.jpg,1,0,0,0,0,0,1,0,0,1
080020.jpg,5,1,1,0,1,0,4,1,0,4
080023.jpg,3,3,3,0,3,0,0,3,0,0
080030.jpg,2,1,1,0,1,0,1,1,0,1
